57|CF바베큐치킨||경기도 성남시 분당구 구미동 182번지 분당대맥주차장빌딩 105-1|4||0|0|0|1000|30|10000
58|925갈비포차||경기도 성남시 분당구 구미동 185번지 1호 201호|21||0|0|0|2000|30|12000
59|김밥천국||경기도 성남시 분당구 구미동 185번지 1호 비즈파이코리아 1층101호|3||0|0|0|1000|30|10000
60|깨돌이김밥||경기도 성남시 분당구 구미동 185번지 2호 제이앤지빌딩 1층|3||0|0|0|1000|30|10000
61|서울치킨||경기도 성남시 분당구 구미동 185번지 7호 1층 101,102,103호|4||0|0|0|1000|30|10000
62|등촌 칼국수||경기도 성남시 분당구 구미동 185번지 7호 3층|1||0|0|0|1000|30|8000
63|금강숯불바베큐치킨||경기도 성남시 분당구 구미동 185번지 7호 향정위너스프라자 107호|4||0|0|0|1000|30|10000
64|술래감자탕||경기도 성남시 분당구 구미동 186번지 1호 외2필지 분당팬텀광장 지하28호 29호|1||0|0|0|1000|30|8000
65|불불이 족발||경기도 성남시 분당구 구미동 186번지 5호 글로리타워 1층 일부(103호)|9||0|0|0|1000|30|10000
66|잭아저씨족발&청담맥주||경기도 성남시 분당구 구미동 187번지 3호 세종그랑시아1 101호|9||0|0|0|1000|30|10000
67|한우맛||경기도 성남시 분당구 구미동 192번지 LG트윈하우스 1층 110,111,112호일부|1||0|0|0|1000|30|8000
68|관보칼국수||경기도 성남시 분당구 구미동 203번지 1호 관보쇼핑 지하1층 지하1호일부(40호,41호)|1||0|0|0|1000|30|8000
69|명동 왕족발보쌈||경기도 성남시 분당구 구미동 203번지 1호 관보쇼핑 지하1층35호|9||0|0|0|1000|30|10000
70|네네치킨||경기도 성남시 분당구 구미동 203번지 2호 진도훼미리프라자 109호|4||0|0|0|1000|30|10000
71|송죽김밥만두전문점||경기도 성남시 분당구 구미동 203번지 2호 진도훼밀리프라자 지하1층|3||0|0|0|1000|30|10000
72|예향퓨전포차||경기도 성남시 분당구 구미동 203번지 5호 1층 일부|21||0|0|0|1000|30|12000
